Node,Owner,Chassis,Serial,Warranty,CPU,Mem,#CPUs
hpc3-gpu-23-03,RCIC,Dell PowerEdge R750xa,CRZD6S3,2027-10-16,Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz,256,32
hpc3-gpu-23-04,RCIC,Dell PowerEdge R750xa,FRZD6S3,2027-10-16,Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz,256,32
hpc3-gpu-23-05,RCIC,Dell PowerEdge R750xa,GRZD6S3,2027-10-16,Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz,256,32
hpc3-gpu-23-06,RCIC,Dell PowerEdge R750xa,DRZD6S3,2027-10-16,Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz,256,32
hpc3-gpu-23-07,RCIC,GIGABYTE G292-280-00,GLGBR5312A0019,NaN,Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz,256,32
hpc3-gpu-23-08,RCIC,GIGABYTE MG52-G20,01234567890123456789AB,NaN,Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz,256,32
hpc3-gpu-23-09,vswarup,GIGABYTE G292-280-00,GMU5NE712A0011,NaN,Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz,3022,64
hpc3-gpu-24-00,RCIC,Dell PowerEdge R750xa,2SZD6S3,2027-10-16,Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz,256,32
hpc3-gpu-24-01,RCIC,Dell PowerEdge R750xa,4SZD6S3,2027-10-16,Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz,256,32
hpc3-gpu-24-02,RCIC,Dell PowerEdge R750xa,JRZD6S3,2027-10-16,Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz,256,32
hpc3-gpu-24-03,RCIC,Dell PowerEdge R750xa,HRZD6S3,2027-10-16,Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz,256,32
hpc3-gpu-24-04,RCIC,Dell PowerEdge R750xa,5SZD6S3,2027-10-16,Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz,256,32
hpc3-gpu-24-05,RCIC,Dell PowerEdge R750xa,1SZD6S3,2027-10-16,Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz,256,32
hpc3-gpu-24-06,RCIC,Dell PowerEdge R750xa,3SZD6S3,2027-10-16,Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz,256,32
hpc3-gpu-24-07,RCIC,Dell PowerEdge R750xa,6SZD6S3,2027-10-16,Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz,256,32
hpc3-gpu-24-08,RCIC,Dell PowerEdge R750xa,GSZD6S3,2027-10-16,Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz,256,32
hpc3-l18-00,RCIC,AS -2023US-TR4,S268672X8630679,2020-12-31,AMD EPYC 7601 32-Core Processor,512,64
hpc3-l18-01,seyedam,Super Server,123456789,2020-12-31,AMD EPYC 7601 32-Core Processor,512,64
hpc3-l18-02,RCIC,SYS-2048U-RTR4,S181858X7418844,2020-12-31,Intel(R) Xeon(R) CPU E5-4610 v4 @ 1.80GHz,1536,40
hpc3-l18-03,RCIC,AS -2023US-TR4,S268672X7808959,2020-12-31,AMD EPYC 7551 32-Core Processor,512,64
hpc3-l18-04,RCIC,SYS-6029P-TRT,S263370X7721322,2020-12-31,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,256,28
hpc3-l18-05,RCIC,SYS-6029P-TRT,S263370X7721320,2020-12-31,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,256,28
hpc3-l18-06,sirignan,SYS-7048GR-TR,S16953525410995,2020-12-31,Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz,512,20
hpc3-mgmt,RCIC,PowerEdge R640,GLJJ903,2024-10-27,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,192,40
login-i15,RCIC,PowerEdge R640,GLJG903,2024-10-27,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,192,40
login-i16,RCIC,PowerEdge R640,GLJH903,2024-10-27,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,192,40
login-i17,RCIC,PowerEdge R640,GLHR903,2024-10-27,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,95,40
slurm-i14,RCIC,PowerEdge R640,GLJK903,2024-10-27,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,192,40
