Module Name,CentOS 7,Rocky Linux 8,Comments
SPAdes/3.14.0,yes,yes,''
SPAdes/3.15.4,,yes,New version
sqlite3/3.32.3,yes,yes,''
sqlite3/3.38.2,,yes,New version
sra-tools/2.10.4,yes,:red:`NO`,Unused
sra-tools/2.10.9,yes,yes,''
sra-tools/2.11.3,,yes,New version
star/2.7.3a,yes,yes,''
star/2.7.8a,yes,yes,''
star/2.7.10a,,yes,New version
stata/16,yes,yes,:red:`Requires license`
stata/17,yes,yes,:red:`Requires license`
stitch/1.6.3,yes,:red:`NO`,Unused
stringtie/2.1.4,yes,yes,''
stringtie/2.2.1,,yes,New version
subread/2.0.1,yes,yes,''
subread/2.0.3,,yes,New version
suitesparse/5.7.1,yes,:red:`NO`,Unused
sundials/5.6.1,yes,:red:`NO`,Unused
szip/2.1.1,yes,yes,''
tcl/8.6.9,yes,yes,''
tcl/8.6.12,,yes,New version
tensorflow/2.0.0,yes,yes,''
tensorflow/2.8.0,,yes,New version
tensorRT/6.0.1.5,yes,:red:`NO`,Unused
tensorRT/8.4.2.4,,yes,New version
tk/8.6.9,yes,:red:`NO`,Unused
tk/8.6.12,,yes,New version
tophat/2.1.1,yes,yes,''
transdecoder/5.5.0,yes,:red:`NO`,Unused
trf/4.0.9,yes,yes,''
trimgalore/0.6.6,yes,yes,''
trimgalore/0.6.7,,yes,New version
trimmomatic/0.39,yes,yes,''
trinity/2.8.6,yes,yes,''
turbomole/7.5,yes,yes,''
turbomole/7.6,yes,yes,''
turbomole-mpi/7.5,yes,:red:`NO`,Unused
turbomole-mpi/7.6,yes,:red:`NO`,Unused
turbomole-smp/7.5,yes,yes,''
turbomole-smp/7.6,yes,yes,''
ucsc-tools/v393,yes,yes,''
ucsc-tools/v429,,yes,New version
ucx/1.8.0,,yes,New version
ucx/1.12.0,,yes,New version
udunits/2.2.26/gcc.4.8.5,yes,:red:`NO`,Unused
udunits/2.2.26/gcc.8.4.0,yes,yes,''
udunits/2.2.26/intel.2020u1,yes,yes,''
udunits/2.2.28/gcc.11.2.0,,yes,New version
udunits/2.2.28/intel.2022.2,,yes,New version
unicycler/0.4.8,yes,yes,''
unicycler/0.5.0,,yes,New version
usearch/11.0.667,yes,:red:`NO`,Unused
vasp/5.4.4,yes,yes,:red:`Requires license`
vasp/6.1.2,yes,yes,:red:`Requires license`
vcell/7.2.0.39,yes,:red:`NO`,Unused
vcflib/1.0.1,yes,:red:`NO`,Unused
vcftools/0.1.16,yes,yes,''
velocyto/0.17.17,yes,yes,''
vg/1.23.0,yes,:red:`NO`,Unused
viennarna/2.4.17/gcc.8.4.0,yes,:red:`NO`,Unused
vtk/9.0.1,yes,:red:`NO`,Unused
windninja/3.7.3,yes,:red:`NO`,Unused
wxWidgets/3.1.3,yes,:red:`NO`,Unused
xerces-c/3.2.3,yes,:red:`NO`,Unused
xz/5.2.4,yes,:red:`NO`,:red:`Available via system RPMs`
xz/5.2.5,,yes,New version
zlib/1.2.11,yes,:red:`NO`,:red:`Available via system RPMS`
